Method,ACC,AUROC
KNN,0.8103753826325116,0.8235752583355732
SVM-L,0.7841147091992912,0.7786720624068585
SVM-R,0.7607539874335427,0.7817178290347858
LR,0.7683260834541646,0.7797883093137088
LDA,0.6399226679555341,0.7877485403361864
DT,0.7333655550185275,0.7943823606237153
RF,0.8425970678266473,0.873811732075505
Gau,0.7248268084420815,0.7427295681767421
MLP,0.8108587079104237,0.7935813910056695
