,Method,ACC,AUROC,precision,recall,f1-score
0,LinearDiscriminantAnalysis,0.6399226679555341,0.7877485403361864,0.7525230322538681,0.6399226679555341,0.655712946992446
1,LinearDiscriminantAnalysis,0.4937973256001289,0.7886835832459491,0.7377957057664382,0.4937973256001289,0.486832764834247
