,Method,ACC,AUROC,precision,recall,f1-score
0,KNeighborsClassifier,0.7791203479942,0.735418630446057,0.7808828273823453,0.7791203479942,0.7799543006788325
1,KNeighborsClassifier,0.7262767842758177,0.7863125365152552,0.77346667840359,0.7262767842758177,0.7376543708200326
2,KNeighborsClassifier,0.7976478169808281,0.8072571822273706,0.7910980707368602,0.7976478169808281,0.7929158687508897
3,KNeighborsClassifier,0.7749315289189624,0.8163257103991662,0.7813903490522155,0.7749315289189624,0.7776332452030872
4,KNeighborsClassifier,0.8094087320766876,0.8237374081519084,0.8020678601392024,0.8094087320766876,0.8021473666951382
5,KNeighborsClassifier,0.7903979378121476,0.8249512604151288,0.787346824404425,0.7903979378121476,0.788669305898937
6,KNeighborsClassifier,0.8103753826325116,0.8235752583355732,0.8031508331730124,0.8103753826325116,0.7999575190900048
